Time,AE Data,EC Data,Mech Data,Output
641.5071375,29072.45353,9.84E-07,0.092568997,0
642.5079026,28392.73408,9.87E-07,0.093289021,0
643.5053358,26907.5,9.82E-07,0.094799586,0
644.5029963,26017.34082,9.81E-07,0.094854564,0
645.5027881,26144.90706,9.78E-07,0.094049671,0
646.5045896,26209.85075,9.83E-07,0.093218081,0
647.5066914,28814.08922,9.78E-07,0.092093519,0
648.5067041,27667.71536,9.78E-07,0.093741844,0
649.505,26986.1194,9.78E-07,0.094227567,0
650.5045896,25804.81343,9.75E-07,0.095159953,0
651.5056877,26461.89591,9.74E-07,0.094176378,0
652.5046992,26382.21805,9.72E-07,0.092861129,0
653.5048889,29338.48148,9.69E-07,0.092543507,0
654.5064794,28265.58052,9.71E-07,0.093289879,0
655.5044403,26850.63433,9.69E-07,0.094781469,0
656.5066543,25941.37546,9.69E-07,0.09503283,0
657.506367,26420.26217,9.64E-07,0.093808673,0
658.5045522,26664.4403,9.69E-07,0.093180723,0
659.503633,29370.41199,9.61E-07,0.092191147,0
660.5049259,28136.77778,9.60E-07,0.093315216,0
661.5080224,27070.33582,9.64E-07,0.094825076,0
662.503985,25797.70677,9.60E-07,0.094851934,0
663.5044444,26146.74074,9.59E-07,0.093918786,0
664.5044361,26473.98496,9.57E-07,0.092729187,0
665.5024535,29163.04833,9.57E-07,0.092549962,0
666.506171,28018.10409,9.52E-07,0.093349263,0
667.5064419,27063.78277,9.58E-07,0.094374306,0
668.505948,25798.58736,9.56E-07,0.094937385,0
669.5065169,26280.11236,9.51E-07,0.093700961,0
670.5044776,26320.18657,9.55E-07,0.093071165,0
671.5040672,29084.70149,9.50E-07,0.09250998,0
672.5056134,28212.34201,9.47E-07,0.092779863,0
673.5059551,26708.91386,9.51E-07,0.094841117,0
674.5043284,25691.04478,9.48E-07,0.094420473,0
675.5057621,26641.78439,9.48E-07,0.093943253,0
676.5076493,26472.98507,9.47E-07,0.09289305,0
677.50603,28250.33708,9.49E-07,0.092120482,0
678.505316,27725.65056,9.44E-07,0.093212568,0
679.5067164,26937.08955,9.46E-07,0.094648579,0
680.5053933,25515.20599,9.40E-07,0.094452101,0
681.5056134,26613.75465,9.43E-07,0.093909303,0
682.5049438,26394.34457,9.43E-07,0.092828482,0
683.5027985,28757.53731,9.40E-07,0.092812848,0
684.5067407,27917.25926,9.38E-07,0.09353253,0
685.5075188,27089.66165,9.37E-07,0.094729142,0
686.5047955,25928.17844,9.40E-07,0.095162315,0
687.5048689,25996.36704,9.38E-07,0.093928704,0
688.5043494,26114.01487,9.43E-07,0.093191965,0
689.5040824,28606.62921,9.40E-07,0.092521276,0
690.5051673,27447.43494,9.34E-07,0.093581359,0
691.5073134,26823.91791,9.39E-07,0.0950361,0
692.504382,25470.89888,9.34E-07,0.094826497,0
693.504052,26852.30483,9.34E-07,0.094271331,0
694.5058955,26374.58955,9.32E-07,0.093253102,0
695.5038577,28822.99625,9.34E-07,0.092552592,0
696.506,27902.55556,9.30E-07,0.093545337,0
697.5060902,26661.16541,9.29E-07,0.094757632,0
698.506037,25238.37037,9.29E-07,0.094997233,0
699.507191,26220.82397,9.29E-07,0.094579622,0
700.5047388,26035.85821,9.27E-07,0.092777108,0
701.5040449,28392.69663,9.26E-07,0.093009296,0
702.5044981,27934.90706,9.24E-07,0.093130604,0
703.5055224,26441.90299,9.28E-07,0.095019061,0
704.5072119,25669.77695,9.22E-07,0.095048103,0
705.5070412,26753.63296,9.25E-07,0.094039664,0
706.5054478,26298.50746,9.21E-07,0.093241279,0
707.5037079,28907.52809,9.24E-07,0.092474798,0
708.5039777,27775.01859,9.20E-07,0.093618489,0
709.5055224,26311.08209,9.23E-07,0.094967452,0
710.5064684,25777.02602,9.18E-07,0.094449814,0
711.5061049,26788.08989,9.19E-07,0.094464239,0
712.5047761,26052.72388,9.16E-07,0.092694075,0
713.5028464,29192.397,9.19E-07,0.092892243,0
714.5044444,27876.59259,9.16E-07,0.093455377,0
715.5042105,26962.85714,9.14E-07,0.094616632,0
716.5037037,25922.2963,9.14E-07,0.094844132,0
717.5052809,26738.83895,9.15E-07,0.093915347,0
718.5041045,26133.6194,9.07E-07,0.09304617,0
719.5078148,29138.74074,9.10E-07,0.092449041,0
720.507406,28176.91729,9.09E-07,0.093316922,0
721.5048327,26395.79926,9.11E-07,0.094664577,0
722.504794,25274.41948,9.07E-07,0.094628807,0
723.5031716,25972.87313,9.11E-07,0.094268522,0
724.5044981,26241.71004,9.07E-07,0.092978546,0
725.5064925,28760.52239,9.01E-07,0.092040685,0
726.5063433,27910.18657,9.06E-07,0.093635003,0
727.5035581,26996.36704,9.01E-07,0.094319706,0
728.5035688,25187.99257,9.01E-07,0.094918529,0
729.505709,26291.19403,8.99E-07,0.094117515,0
730.5031461,25903.33333,9.02E-07,0.092680475,0
731.5042222,28619.81481,9.00E-07,0.092429094,0
732.5077239,26966.6791,8.99E-07,0.09356595,0
733.5079478,27471.75373,8.98E-07,0.094126866,0
734.50603,25354.41948,8.97E-07,0.095232165,0
735.5034328,27037.05224,8.96E-07,0.093652985,0
736.5036194,25877.98507,8.93E-07,0.093012318,0
737.5050186,28989.92565,8.94E-07,0.092679357,0
738.506194,27261.75373,8.93E-07,0.093241503,0
739.5071269,26997.5,8.91E-07,0.094873,0
740.5048315,25448.8015,8.92E-07,0.094894996,0
741.5043123,26886.13383,8.12E-07,0.094090608,0
742.5056343,25947.57463,8.08E-07,0.093288213,0
743.50397,29101.87266,8.02E-07,0.092260367,0
744.5056296,27319.03704,8.05E-07,0.093404239,0
745.5070787,27023.70787,8.08E-07,0.094483868,0
746.5054851,25170.26119,8.07E-07,0.095166876,0
747.5067658,26783.9777,8.07E-07,0.094142205,0
748.50603,25984.1573,8.04E-07,0.092662019,0
749.5051301,28831.15242,8.01E-07,0.092707932,0
750.5059551,27127.49064,8.03E-07,0.093173819,0
751.5060223,27006.7658,8.04E-07,0.094704349,0
752.5088104,25259.8513,8.03E-07,0.095024455,0
753.5069549,27267.85714,8.06E-07,0.093967026,0
754.5049071,25723.19703,8.02E-07,0.093039548,0
755.5051311,28991.64794,7.96E-07,0.092203872,0
756.5046468,27451.56134,7.98E-07,0.093482376,0
757.5066791,27283.20896,7.95E-07,0.094795495,0
758.5060075,25430.26119,8.06E-07,0.094547653,0
759.5052239,26922.68657,8.18E-07,0.094256564,0
760.5060075,25916.6791,8.26E-07,0.09240838,0
761.5056343,29026.75373,8.15E-07,0.092724825,0
762.5071375,26997.28625,7.95E-07,0.093319076,0
763.506779,27289.92509,7.90E-07,0.094340598,0
764.5051119,25146.34328,7.85E-07,0.095019511,0
765.5041418,26957.91045,7.87E-07,0.094186567,0
766.5056134,25786.7658,7.85E-07,0.092221346,0
767.5058801,28733.97004,7.88E-07,0.092683002,0
768.5060223,27556.7658,7.85E-07,0.092804407,0
769.5055805,27434.38202,7.83E-07,0.094775416,0
770.5047584,25608.69888,7.87E-07,0.094797286,0
771.5054682,26759.66292,7.87E-07,0.093563693,0
772.5048699,26036.05948,7.85E-07,0.092805079,0
773.5060821,28910.33582,7.82E-07,0.092008542,0
774.5063806,27679.70149,7.81E-07,0.093376101,0
775.5059328,27240.63433,7.83E-07,0.094670473,0
776.5055597,25291.86567,7.78E-07,0.094263712,0
777.5061567,26600.33582,7.79E-07,0.094103893,0
778.5040824,25926.14232,7.76E-07,0.092385452,0
779.5033829,28913.42007,7.77E-07,0.092384512,0
780.5069145,27610.85502,7.78E-07,0.093222959,0
781.5070787,27067.56554,7.75E-07,0.09411263,0
782.5069888,25483.60595,7.75E-07,0.094719129,0
783.5050376,26529.62406,7.73E-07,0.093674019,0
784.5028253,26520,7.77E-07,0.092707887,0
785.5045522,28925.78358,7.74E-07,0.092390442,0
786.5044403,27705.22388,7.75E-07,0.092815546,0
787.5057621,27166.69145,7.77E-07,0.09444847,0
788.5062547,25709.73783,7.74E-07,0.094378909,0
789.5042164,26608.24627,7.78E-07,0.093996134,0
790.5047584,26082.56506,7.72E-07,0.092583912,0
791.5063433,29126.04478,7.73E-07,0.091879383,0
792.5064552,27935.18657,7.70E-07,0.093327189,0
793.5052434,26873.78277,7.70E-07,0.09411985,0
794.504461,25875.20446,7.68E-07,0.094610785,0
795.5042322,26451.46067,7.66E-07,0.093357746,0
796.5034201,26083.5316,7.69E-07,0.092650871,0
797.5049254,28748.58209,7.73E-07,0.092263397,0
798.5048881,28039.40299,7.67E-07,0.092770905,0
799.5054851,26834.14179,7.63E-07,0.0943672,0
800.506803,25658.69888,7.64E-07,0.094649931,0
801.505618,26787.75281,7.61E-07,0.093430441,0
802.5038433,26372.23881,7.63E-07,0.09267371,0
803.5055762,28921.37546,7.60E-07,0.091642764,0
